ticket_id,customer_id,quarter,region,segment,product,issue_type,severity,escalated,response_time_hours,resolution_time_hours
TKT_0034,CUST_122,Q1_2025,LATAM,SMB,InsightOS,UI Glitch,Low,False,3.1,22.9
TKT_0035,CUST_125,Q1_2025,APAC,Mid-Market,InsightOS,Export CSV Failed,Medium,True,0.7,14.7
TKT_0036,CUST_130,Q1_2025,EMEA,Enterprise,MetricHub,Caching Stale Data,Low,False,1.6,9.2
TKT_0037,CUST_132,Q1_2025,APAC,Enterprise,InsightOS,Export CSV Failed,Medium,False,1.5,10.6
TKT_0038,CUST_133,Q1_2025,APAC,Enterprise,InsightOS,UI Glitch,Medium,False,2.9,15.1
TKT_0039,CUST_137,Q1_2025,EMEA,Mid-Market,MetricHub,Incorrect Sum Aggregation,Low,False,0.9,7.4
TKT_0040,CUST_138,Q1_2025,North America,SMB,FlowOps,Connection Lost to Database,High,False,3.9,10.9
TKT_0041,CUST_141,Q1_2025,LATAM,Enterprise,MetricHub,Incorrect Sum Aggregation,High,False,1.0,14.9
TKT_0042,CUST_148,Q1_2025,EMEA,Mid-Market,MetricHub,Semantic Layer Sync Failed,Medium,False,1.1,11.0
TKT_0043,CUST_148,Q1_2025,EMEA,Mid-Market,InsightOS,Export CSV Failed,Medium,False,3.9,19.4
TKT_0044,CUST_160,Q1_2025,North America,Mid-Market,FlowOps,Pipeline Execution Stalled,Medium,False,1.2,17.0
TKT_0045,CUST_160,Q1_2025,North America,Mid-Market,MetricHub,Semantic Layer Sync Failed,Medium,False,2.3,5.2
TKT_0046,CUST_175,Q1_2025,North America,Enterprise,InsightOS,UI Glitch,Medium,False,2.8,8.2
TKT_0047,CUST_177,Q1_2025,North America,SMB,MetricHub,Incorrect Sum Aggregation,Low,False,1.9,6.5
TKT_0048,CUST_177,Q1_2025,North America,SMB,InsightOS,Dashboard Load Timeout,Medium,False,3.4,13.7
TKT_0049,CUST_184,Q1_2025,LATAM,SMB,InsightOS,User Access Management,Low,False,2.4,20.8
TKT_0050,CUST_184,Q1_2025,LATAM,SMB,MetricHub,SQL Generation Error,High,False,1.0,21.0
TKT_0051,CUST_194,Q1_2025,North America,SMB,FlowOps,API Rate Limit Exceeded,High,False,0.9,12.8
TKT_0052,CUST_201,Q1_2025,North America,SMB,FlowOps,Connection Lost to Database,Medium,False,3.6,16.9
TKT_0053,CUST_201,Q1_2025,North America,SMB,FlowOps,Connection Lost to Database,Low,False,0.5,10.5
TKT_0054,CUST_203,Q1_2025,APAC,SMB,InsightOS,UI Glitch,Critical,False,2.3,5.7
TKT_0055,CUST_210,Q1_2025,APAC,Mid-Market,FlowOps,v2.0 Migration Memory Leak,Critical,False,2.4,21.5
TKT_0056,CUST_215,Q1_2025,North America,Enterprise,MetricHub,SQL Generation Error,Medium,False,1.8,18.8
TKT_0057,CUST_225,Q1_2025,EMEA,Mid-Market,FlowOps,API Rate Limit Exceeded,Medium,False,1.2,6.5
TKT_0058,CUST_235,Q1_2025,APAC,SMB,MetricHub,Incorrect Sum Aggregation,High,True,2.2,17.8
TKT_0059,CUST_243,Q1_2025,LATAM,SMB,InsightOS,UI Glitch,Medium,False,1.7,22.8
TKT_0060,CUST_243,Q1_2025,LATAM,SMB,MetricHub,Incorrect Sum Aggregation,Medium,False,3.9,20.7
TKT_0061,CUST_252,Q1_2025,EMEA,Mid-Market,FlowOps,API Rate Limit Exceeded,Low,False,2.1,5.5
TKT_0062,CUST_253,Q1_2025,LATAM,Mid-Market,InsightOS,Dashboard Load Timeout,Low,False,3.8,21.5
TKT_0063,CUST_260,Q1_2025,APAC,Mid-Market,MetricHub,SQL Generation Error,Medium,False,1.2,7.6
TKT_0064,CUST_260,Q1_2025,APAC,Mid-Market,FlowOps,Connection Lost to Database,Medium,False,3.5,9.9
TKT_0065,CUST_262,Q1_2025,LATAM,Enterprise,FlowOps,Pipeline Execution Stalled,Medium,False,0.6,11.3
TKT_0066,CUST_262,Q1_2025,LATAM,Enterprise,FlowOps,v2.0 Migration Memory Leak,Low,False,1.5,14.6
TKT_0067,CUST_271,Q1_2025,North America,SMB,MetricHub,Incorrect Sum Aggregation,Medium,False,1.2,10.3
TKT_0068,CUST_271,Q1_2025,North America,SMB,MetricHub,Semantic Layer Sync Failed,Low,False,1.2,17.6
TKT_0069,CUST_274,Q1_2025,LATAM,Mid-Market,MetricHub,Incorrect Sum Aggregation,Medium,False,4.0,4.2
TKT_0070,CUST_274,Q1_2025,LATAM,Mid-Market,InsightOS,Dashboard Load Timeout,Low,False,2.7,10.8
TKT_0071,CUST_275,Q1_2025,EMEA,SMB,InsightOS,User Access Management,Medium,False,2.6,4.5
TKT_0072,CUST_275,Q1_2025,EMEA,SMB,MetricHub,Incorrect Sum Aggregation,Low,False,2.1,19.0
TKT_0073,CUST_277,Q1_2025,North America,SMB,FlowOps,Connection Lost to Database,Medium,False,3.3,15.1
TKT_0074,CUST_277,Q1_2025,North America,SMB,FlowOps,Connection Lost to Database,Medium,False,2.6,12.3
TKT_0075,CUST_279,Q1_2025,North America,Enterprise,FlowOps,v2.0 Migration Memory Leak,Medium,False,1.1,5.2
TKT_0076,CUST_286,Q1_2025,APAC,Mid-Market,MetricHub,SQL Generation Error,Low,False,0.7,12.0
TKT_0077,CUST_292,Q1_2025,APAC,SMB,FlowOps,Pipeline Execution Stalled,Medium,False,1.2,9.2
TKT_0078,CUST_293,Q1_2025,North America,Mid-Market,MetricHub,Incorrect Sum Aggregation,High,False,2.3,13.0
TKT_0079,CUST_297,Q1_2025,North America,SMB,InsightOS,Export CSV Failed,Medium,False,2.9,7.3
TKT_0080,CUST_301,Q1_2025,APAC,Mid-Market,MetricHub,Caching Stale Data,Low,False,1.1,5.1
TKT_0081,CUST_305,Q1_2025,North America,SMB,MetricHub,Caching Stale Data,Critical,True,3.9,15.0
TKT_0082,CUST_306,Q1_2025,LATAM,Enterprise,InsightOS,Dashboard Load Timeout,Low,True,2.7,8.2
TKT_0083,CUST_310,Q1_2025,EMEA,Mid-Market,InsightOS,Dashboard Load Timeout,Medium,False,1.6,17.7
TKT_0084,CUST_316,Q1_2025,North America,Enterprise,MetricHub,Caching Stale Data,High,False,3.1,11.4
TKT_0085,CUST_316,Q1_2025,North America,Enterprise,FlowOps,v2.0 Migration Memory Leak,Low,False,3.9,21.8
TKT_0086,CUST_325,Q1_2025,LATAM,Mid-Market,FlowOps,API Rate Limit Exceeded,Medium,False,0.9,12.2
TKT_0087,CUST_333,Q1_2025,APAC,Mid-Market,FlowOps,v2.0 Migration Memory Leak,Low,False,0.7,20.5
TKT_0088,CUST_344,Q1_2025,EMEA,Mid-Market,InsightOS,UI Glitch,Low,False,1.1,10.4
TKT_0089,CUST_346,Q1_2025,North America,Enterprise,InsightOS,UI Glitch,Low,False,1.0,15.5
TKT_0090,CUST_346,Q1_2025,North America,Enterprise,FlowOps,API Rate Limit Exceeded,Medium,False,1.9,14.4
TKT_0091,CUST_350,Q1_2025,North America,Mid-Market,MetricHub,SQL Generation Error,Medium,False,2.6,9.9
TKT_0092,CUST_352,Q1_2025,LATAM,Enterprise,FlowOps,API Rate Limit Exceeded,Low,False,2.6,15.8
TKT_0093,CUST_354,Q1_2025,APAC,SMB,MetricHub,SQL Generation Error,Medium,False,2.5,4.3
TKT_0094,CUST_356,Q1_2025,North America,Mid-Market,InsightOS,UI Glitch,Low,False,1.4,10.7
TKT_0095,CUST_367,Q1_2025,LATAM,Mid-Market,InsightOS,User Access Management,Low,True,3.7,4.5
TKT_0096,CUST_397,Q1_2025,LATAM,Enterprise,InsightOS,UI Glitch,Low,False,3.6,20.9
TKT_0097,CUST_400,Q1_2025,North America,Enterprise,FlowOps,v2.0 Migration Memory Leak,Low,False,0.8,16.0
TKT_0098,CUST_400,Q1_2025,North America,Enterprise,MetricHub,Caching Stale Data,Medium,False,3.5,19.7
TKT_0099,CUST_009,Q2_2025,North America,Enterprise,FlowOps,API Rate Limit Exceeded,Low,True,2.1,5.7
TKT_0100,CUST_022,Q2_2025,APAC,Mid-Market,FlowOps,v2.0 Migration Memory Leak,Critical,False,0.8,7.9
TKT_0101,CUST_033,Q2_2025,APAC,Mid-Market,FlowOps,Connection Lost to Database,Medium,False,1.0,10.1
TKT_0102,CUST_033,Q2_2025,APAC,Mid-Market,FlowOps,v2.0 Migration Memory Leak,Medium,False,1.6,5.4
TKT_0103,CUST_042,Q2_2025,EMEA,Enterprise,InsightOS,UI Glitch,Low,True,1.4,14.6
TKT_0104,CUST_048,Q2_2025,EMEA,Mid-Market,MetricHub,Caching Stale Data,Medium,False,3.5,14.6
TKT_0105,CUST_048,Q2_2025,EMEA,Mid-Market,InsightOS,User Access Management,Medium,False,3.6,21.1
TKT_0106,CUST_054,Q2_2025,LATAM,Enterprise,FlowOps,Pipeline Execution Stalled,High,False,0.5,11.5
TKT_0107,CUST_058,Q2_2025,APAC,SMB,MetricHub,Incorrect Sum Aggregation,Medium,False,0.9,5.4
TKT_0108,CUST_058,Q2_2025,APAC,SMB,FlowOps,API Rate Limit Exceeded,High,False,0.9,14.2
TKT_0109,CUST_059,Q2_2025,APAC,SMB,InsightOS,User Access Management,Medium,False,0.6,23.9
TKT_0110,CUST_059,Q2_2025,APAC,SMB,MetricHub,Incorrect Sum Aggregation,Low,False,0.6,11.8
TKT_0111,CUST_067,Q2_2025,APAC,SMB,FlowOps,API Rate Limit Exceeded,High,False,2.5,9.6
TKT_0112,CUST_071,Q2_2025,North America,SMB,MetricHub,Incorrect Sum Aggregation,High,False,3.8,6.4
TKT_0113,CUST_071,Q2_2025,North America,SMB,FlowOps,v2.0 Migration Memory Leak,Low,False,1.3,8.7
TKT_0114,CUST_072,Q2_2025,APAC,Enterprise,InsightOS,User Access Management,Low,False,1.8,21.5
TKT_0115,CUST_086,Q2_2025,EMEA,Enterprise,MetricHub,Semantic Layer Sync Failed,Low,False,2.4,5.6
TKT_0116,CUST_089,Q2_2025,LATAM,Enterprise,MetricHub,Semantic Layer Sync Failed,Low,False,3.2,22.7
TKT_0117,CUST_090,Q2_2025,EMEA,Enterprise,FlowOps,Connection Lost to Database,Low,False,1.5,11.5
TKT_0118,CUST_090,Q2_2025,EMEA,Enterprise,MetricHub,SQL Generation Error,Medium,False,2.9,7.4
TKT_0119,CUST_099,Q2_2025,APAC,Enterprise,FlowOps,v2.0 Migration Memory Leak,Low,False,3.8,11.0
TKT_0120,CUST_102,Q2_2025,North America,Mid-Market,MetricHub,Incorrect Sum Aggregation,Medium,False,3.9,11.6
TKT_0121,CUST_102,Q2_2025,North America,Mid-Market,InsightOS,UI Glitch,Low,False,1.2,6.9
TKT_0122,CUST_132,Q2_2025,APAC,Enterprise,FlowOps,Pipeline Execution Stalled,Medium,False,3.0,11.2
TKT_0123,CUST_134,Q2_2025,EMEA,Mid-Market,InsightOS,Dashboard Load Timeout,Low,False,0.5,13.7
TKT_0124,CUST_136,Q2_2025,EMEA,Enterprise,MetricHub,Semantic Layer Sync Failed,Critical,False,3.1,14.9
TKT_0125,CUST_138,Q2_2025,North America,SMB,MetricHub,SQL Generation Error,Low,False,1.6,11.4
TKT_0126,CUST_138,Q2_2025,North America,SMB,InsightOS,Export CSV Failed,Low,False,3.1,15.9
TKT_0127,CUST_139,Q2_2025,EMEA,SMB,FlowOps,Pipeline Execution Stalled,Medium,False,3.1,22.4
TKT_0128,CUST_141,Q2_2025,LATAM,Enterprise,InsightOS,User Access Management,Low,False,2.4,10.0
TKT_0129,CUST_154,Q2_2025,EMEA,Mid-Market,MetricHub,Semantic Layer Sync Failed,Medium,False,2.7,13.6
TKT_0130,CUST_172,Q2_2025,APAC,Mid-Market,MetricHub,Caching Stale Data,Low,False,1.7,11.8
TKT_0131,CUST_174,Q2_2025,APAC,Mid-Market,FlowOps,v2.0 Migration Memory Leak,Medium,False,3.5,12.4
TKT_0132,CUST_174,Q2_2025,APAC,Mid-Market,MetricHub,Incorrect Sum Aggregation,High,False,2.2,7.6
TKT_0133,CUST_175,Q2_2025,North America,Enterprise,MetricHub,Caching Stale Data,Low,False,2.4,15.7
TKT_0134,CUST_175,Q2_2025,North America,Enterprise,FlowOps,v2.0 Migration Memory Leak,High,True,1.7,17.6
TKT_0135,CUST_182,Q2_2025,APAC,Enterprise,InsightOS,Export CSV Failed,High,False,3.8,18.8
TKT_0136,CUST_188,Q2_2025,North America,SMB,InsightOS,Dashboard Load Timeout,Medium,False,2.2,5.1
TKT_0137,CUST_188,Q2_2025,North America,SMB,InsightOS,Export CSV Failed,Medium,False,3.6,15.7
TKT_0138,CUST_192,Q2_2025,LATAM,Mid-Market,FlowOps,Connection Lost to Database,Low,False,1.9,9.6
TKT_0139,CUST_197,Q2_2025,North America,Mid-Market,MetricHub,Incorrect Sum Aggregation,High,False,3.3,6.7
TKT_0140,CUST_203,Q2_2025,APAC,SMB,MetricHub,Caching Stale Data,High,True,2.4,18.8
TKT_0141,CUST_215,Q2_2025,North America,Enterprise,InsightOS,Dashboard Load Timeout,Medium,True,2.5,6.4
TKT_0142,CUST_232,Q2_2025,EMEA,Enterprise,InsightOS,User Access Management,Critical,False,3.5,16.0
TKT_0143,CUST_240,Q2_2025,APAC,SMB,InsightOS,UI Glitch,Medium,False,2.6,14.9
TKT_0144,CUST_251,Q2_2025,EMEA,SMB,MetricHub,Caching Stale Data,Medium,False,2.5,19.3
TKT_0145,CUST_252,Q2_2025,EMEA,Mid-Market,FlowOps,API Rate Limit Exceeded,High,False,1.0,10.2
TKT_0146,CUST_275,Q2_2025,EMEA,SMB,InsightOS,User Access Management,Low,False,3.7,11.8
TKT_0147,CUST_276,Q2_2025,EMEA,Enterprise,MetricHub,Incorrect Sum Aggregation,Medium,False,2.9,11.3
TKT_0148,CUST_276,Q2_2025,EMEA,Enterprise,MetricHub,Caching Stale Data,Low,False,3.0,19.3
TKT_0149,CUST_278,Q2_2025,North America,SMB,FlowOps,Connection Lost to Database,Low,False,1.5,10.1
TKT_0150,CUST_280,Q2_2025,North America,Enterprise,FlowOps,API Rate Limit Exceeded,Low,False,2.0,21.4
TKT_0151,CUST_287,Q2_2025,EMEA,Mid-Market,MetricHub,Caching Stale Data,High,False,1.5,11.4
TKT_0152,CUST_290,Q2_2025,North America,SMB,MetricHub,Caching Stale Data,Medium,True,1.7,19.9
TKT_0153,CUST_294,Q2_2025,EMEA,SMB,FlowOps,v2.0 Migration Memory Leak,Medium,False,3.1,10.2
TKT_0154,CUST_306,Q2_2025,LATAM,Enterprise,FlowOps,Connection Lost to Database,Medium,False,0.6,18.5
TKT_0155,CUST_306,Q2_2025,LATAM,Enterprise,FlowOps,Connection Lost to Database,Low,False,0.7,20.5
TKT_0156,CUST_312,Q2_2025,APAC,Mid-Market,FlowOps,API Rate Limit Exceeded,Medium,False,1.1,10.7
TKT_0157,CUST_314,Q2_2025,LATAM,SMB,InsightOS,User Access Management,Low,False,2.1,18.2
TKT_0158,CUST_317,Q2_2025,EMEA,Mid-Market,MetricHub,SQL Generation Error,Low,True,0.6,19.5
TKT_0159,CUST_317,Q2_2025,EMEA,Mid-Market,MetricHub,Caching Stale Data,Medium,False,2.0,4.5
TKT_0160,CUST_330,Q2_2025,APAC,SMB,MetricHub,Incorrect Sum Aggregation,Low,False,1.0,15.6
TKT_0161,CUST_330,Q2_2025,APAC,SMB,InsightOS,UI Glitch,Low,False,4.0,5.1
TKT_0162,CUST_335,Q2_2025,APAC,SMB,InsightOS,UI Glitch,High,False,3.0,11.9
TKT_0163,CUST_338,Q2_2025,North America,Mid-Market,FlowOps,Pipeline Execution Stalled,Medium,False,2.6,22.8
TKT_0164,CUST_338,Q2_2025,North America,Mid-Market,InsightOS,UI Glitch,Low,False,2.9,19.0
TKT_0165,CUST_344,Q2_2025,EMEA,Mid-Market,InsightOS,User Access Management,Low,False,0.7,9.4
TKT_0166,CUST_344,Q2_2025,EMEA,Mid-Market,MetricHub,Incorrect Sum Aggregation,Low,True,2.8,6.7
TKT_0167,CUST_346,Q2_2025,North America,Enterprise,FlowOps,v2.0 Migration Memory Leak,Low,False,0.6,10.7
TKT_0168,CUST_354,Q2_2025,APAC,SMB,MetricHub,Semantic Layer Sync Failed,Medium,False,2.5,21.3
TKT_0169,CUST_378,Q2_2025,APAC,Mid-Market,InsightOS,Dashboard Load Timeout,Low,False,2.2,10.4
TKT_0170,CUST_378,Q2_2025,APAC,Mid-Market,MetricHub,Incorrect Sum Aggregation,Low,False,1.9,12.9
TKT_0171,CUST_382,Q2_2025,North America,Mid-Market,FlowOps,API Rate Limit Exceeded,Low,False,0.7,15.9
TKT_0172,CUST_382,Q2_2025,North America,Mid-Market,FlowOps,API Rate Limit Exceeded,Low,False,0.6,20.9
TKT_0173,CUST_386,Q2_2025,North America,Enterprise,InsightOS,Export CSV Failed,Low,False,2.4,6.5
TKT_0174,CUST_391,Q2_2025,LATAM,SMB,InsightOS,UI Glitch,Low,False,3.8,20.0
TKT_0175,CUST_397,Q2_2025,LATAM,Enterprise,InsightOS,UI Glitch,Low,False,1.6,5.2
TKT_0176,CUST_397,Q2_2025,LATAM,Enterprise,MetricHub,Incorrect Sum Aggregation,Low,False,1.7,17.9
TKT_0177,CUST_399,Q2_2025,North America,Mid-Market,MetricHub,SQL Generation Error,Critical,False,3.5,5.1
TKT_0178,CUST_399,Q2_2025,North America,Mid-Market,InsightOS,Dashboard Load Timeout,Medium,False,2.1,11.9
TKT_0179,CUST_009,Q3_2025,North America,Enterprise,FlowOps,API Rate Limit Exceeded,Low,False,0.9,17.0
TKT_0180,CUST_012,Q3_2025,LATAM,Enterprise,FlowOps,Connection Lost to Database,Low,False,2.7,10.0
TKT_0181,CUST_012,Q3_2025,LATAM,Enterprise,MetricHub,SQL Generation Error,Medium,False,0.6,14.0
TKT_0182,CUST_016,Q3_2025,APAC,SMB,InsightOS,Export CSV Failed,High,False,31.0,119.9
TKT_0183,CUST_019,Q3_2025,EMEA,Mid-Market,MetricHub,Semantic Layer Sync Failed,Medium,False,3.7,12.7
TKT_0184,CUST_019,Q3_2025,EMEA,Mid-Market,InsightOS,Dashboard Load Timeout,Medium,False,1.6,16.4
TKT_0185,CUST_021,Q3_2025,North America,Mid-Market,MetricHub,Caching Stale Data,Low,False,3.9,13.1
TKT_0186,CUST_022,Q3_2025,APAC,Mid-Market,InsightOS,User Access Management,High,False,2.0,13.3
TKT_0187,CUST_022,Q3_2025,APAC,Mid-Market,InsightOS,UI Glitch,High,True,2.9,18.5
TKT_0188,CUST_025,Q3_2025,EMEA,SMB,FlowOps,API Rate Limit Exceeded,Medium,False,47.5,113.7
TKT_0189,CUST_028,Q3_2025,EMEA,Enterprise,InsightOS,UI Glitch,Medium,True,2.0,13.4
TKT_0190,CUST_041,Q3_2025,APAC,SMB,FlowOps,v2.0 Migration Memory Leak,Medium,True,44.7,80.3
TKT_0191,CUST_047,Q3_2025,EMEA,Enterprise,InsightOS,Export CSV Failed,Medium,False,0.9,22.2
TKT_0192,CUST_047,Q3_2025,EMEA,Enterprise,InsightOS,UI Glitch,Medium,True,3.5,12.8
TKT_0193,CUST_054,Q3_2025,LATAM,Enterprise,FlowOps,API Rate Limit Exceeded,Medium,False,0.6,5.0
TKT_0194,CUST_068,Q3_2025,North America,Enterprise,MetricHub,Caching Stale Data,Medium,False,3.9,16.6
TKT_0195,CUST_070,Q3_2025,LATAM,Enterprise,MetricHub,Caching Stale Data,Medium,False,3.0,20.7
TKT_0196,CUST_074,Q3_2025,North America,Enterprise,FlowOps,API Rate Limit Exceeded,Critical,True,2.5,7.3
TKT_0197,CUST_076,Q3_2025,North America,Enterprise,InsightOS,User Access Management,High,False,1.0,19.2
TKT_0198,CUST_089,Q3_2025,LATAM,Enterprise,InsightOS,Export CSV Failed,Low,False,1.4,22.3
TKT_0199,CUST_089,Q3_2025,LATAM,Enterprise,InsightOS,Export CSV Failed,High,False,2.8,22.1
TKT_0200,CUST_090,Q3_2025,EMEA,Enterprise,InsightOS,User Access Management,High,False,1.6,7.8
TKT_0201,CUST_102,Q3_2025,North America,Mid-Market,MetricHub,Caching Stale Data,Low,False,2.4,17.5
TKT_0202,CUST_103,Q3_2025,EMEA,SMB,InsightOS,UI Glitch,Low,False,43.0,119.4
TKT_0203,CUST_104,Q3_2025,EMEA,Mid-Market,MetricHub,Caching Stale Data,Critical,False,2.9,8.9
TKT_0204,CUST_112,Q3_2025,APAC,SMB,MetricHub,Caching Stale Data,High,False,40.1,66.2
TKT_0205,CUST_114,Q3_2025,North America,Enterprise,MetricHub,SQL Generation Error,Medium,False,3.0,4.6
TKT_0206,CUST_117,Q3_2025,North America,SMB,FlowOps,v2.0 Migration Memory Leak,Medium,False,18.5,113.5
TKT_0207,CUST_117,Q3_2025,North America,SMB,MetricHub,Caching Stale Data,Low,False,38.4,65.0
TKT_0208,CUST_123,Q3_2025,EMEA,Enterprise,MetricHub,SQL Generation Error,Low,False,1.2,9.2
TKT_0209,CUST_132,Q3_2025,APAC,Enterprise,FlowOps,API Rate Limit Exceeded,Medium,False,2.2,20.9
TKT_0210,CUST_133,Q3_2025,APAC,Enterprise,FlowOps,API Rate Limit Exceeded,Low,False,2.3,6.6
TKT_0211,CUST_147,Q3_2025,North America,SMB,MetricHub,Semantic Layer Sync Failed,Low,False,36.7,111.5
TKT_0212,CUST_153,Q3_2025,APAC,Mid-Market,MetricHub,Caching Stale Data,Medium,False,1.2,19.0
TKT_0213,CUST_192,Q3_2025,LATAM,Mid-Market,MetricHub,SQL Generation Error,High,False,1.1,10.0
TKT_0214,CUST_199,Q3_2025,LATAM,SMB,MetricHub,Semantic Layer Sync Failed,Low,False,27.2,117.3
TKT_0215,CUST_199,Q3_2025,LATAM,SMB,FlowOps,Pipeline Execution Stalled,Low,False,30.4,55.2
TKT_0216,CUST_211,Q3_2025,EMEA,SMB,FlowOps,API Rate Limit Exceeded,Low,True,22.4,59.5
TKT_0217,CUST_211,Q3_2025,EMEA,SMB,InsightOS,UI Glitch,Low,False,36.7,57.6
TKT_0218,CUST_219,Q3_2025,North America,Mid-Market,FlowOps,Pipeline Execution Stalled,Medium,False,3.3,21.0
TKT_0219,CUST_219,Q3_2025,North America,Mid-Market,InsightOS,UI Glitch,Critical,True,1.0,14.8
TKT_0220,CUST_227,Q3_2025,LATAM,SMB,InsightOS,Dashboard Load Timeout,High,True,33.0,53.2
TKT_0221,CUST_228,Q3_2025,EMEA,Mid-Market,MetricHub,SQL Generation Error,Medium,False,2.8,7.4
TKT_0222,CUST_228,Q3_2025,EMEA,Mid-Market,FlowOps,Pipeline Execution Stalled,Medium,False,3.9,14.4
TKT_0223,CUST_231,Q3_2025,North America,Mid-Market,InsightOS,User Access Management,High,False,3.1,21.3
TKT_0224,CUST_234,Q3_2025,EMEA,Mid-Market,InsightOS,User Access Management,Low,False,3.7,19.3
TKT_0225,CUST_247,Q3_2025,EMEA,Mid-Market,MetricHub,SQL Generation Error,Low,False,2.1,6.3
TKT_0226,CUST_247,Q3_2025,EMEA,Mid-Market,FlowOps,v2.0 Migration Memory Leak,High,False,0.8,7.8
TKT_0227,CUST_262,Q3_2025,LATAM,Enterprise,InsightOS,Export CSV Failed,Medium,False,3.9,19.5
TKT_0228,CUST_262,Q3_2025,LATAM,Enterprise,FlowOps,v2.0 Migration Memory Leak,Medium,False,2.1,8.2
TKT_0229,CUST_276,Q3_2025,EMEA,Enterprise,MetricHub,Semantic Layer Sync Failed,Low,False,3.8,22.3
TKT_0230,CUST_277,Q3_2025,North America,SMB,MetricHub,Caching Stale Data,Medium,False,23.7,68.3
TKT_0231,CUST_277,Q3_2025,North America,SMB,InsightOS,Export CSV Failed,Medium,False,35.5,100.9
